Receiver_ID,Name,total_quantity_claimed
926,Kimberly Ware,39
246,Kristi Wagner,38
376,John Reeves,38
543,Brenda Green,38
104,Victor Reyes,37
353,Mrs. Stacey Morales MD,37
382,Patricia Stevens,37
492,Julie Lewis,37
650,Nicholas Peterson,37
242,Matthew Pearson,36
292,Mrs. Emily Smith DVM,36
859,Dana Williams,36
865,Katherine Houston,36
990,Patricia Hardy,36
44,Andrew Lawson,35
276,Scott Hunter,35
571,Lydia Phillips,35
572,Diana Blair,35
674,Stephen Harris,35
807,Taylor Miller,35
875,Scott Smith,35
950,Caitlin Bennett,35
995,Brittany Taylor,35
10,Mary Salazar,34
223,David Henderson,34
293,Randy Roach,34
337,Jennifer Schmidt,34
526,Brian Morales,34
541,Amy Brown,34
797,Robert Becker,34
912,Katelyn Proctor,34
525,Michael Dixon,33
103,Karen Cruz,32
145,David Hull,32
183,Nicole Walker,32
267,Randall Robbins,32
417,Justin Santos,32
418,Miss Mary Turner,32
962,Donald Anderson,32
7,Kenneth Baker,31
213,Kelly Barber,31
272,Walter Carter,31
6,Mandy Sutton PhD,30
195,John Martin,30
569,Danny Randolph,30
795,Caitlin Cobb,30
854,Christopher Diaz,30
320,Carmen Barker,29
835,Jennifer Wright,29
128,Sarah Carter,28
151,Lisa Eaton,28
181,Paul Evans,28
189,Stephen Smith,28
211,Judy Griffith,28
216,Morgan Massey,28
390,Victor Crawford,28
436,Jacqueline Turner,28
448,Nicholas Harrison,28
493,Chelsea Powell,28
553,Scott Proctor,28
870,Joshua Mendoza,28
888,Matthew Davis,28
47,Taylor Dean,27
576,Justin Lopez,27
596,Natalie Navarro,27
783,Monica Phillips,27
33,Anita Kerr,26
113,Jonathan Young,26
281,Mrs. Kristin Adams DDS,26
295,Joseph Williams,26
561,Andrea Morris,26
858,Ashley Harris,26
180,Michelle Cook,25
218,Corey Lamb,25
413,Dennis Schultz,25
508,Kimberly Wilson,25
544,Matthew Wright,25
548,Gary Andrews,25
90,Alvin West,24
149,Nathan Willis,24
301,Kristina Simpson,24
126,Heather Brown,23
497,Miss Jamie Gonzalez DDS,23
532,David Sellers DVM,23
612,Meredith Griffin,23
730,Felicia Glover,23
821,Jeffrey Wilson,23
791,David Kennedy,22
124,Marie Andrade,21
212,Ronald Gonzalez,21
228,Joanna Wilkins,21
424,Pamela Harris,21
529,Amy Perez,21
624,Alvin Day Jr.,21
929,Donna Terry,21
379,Tara Graham,20
837,Michelle Reed,20
302,Daniel Moore,19
310,Gary Adams,19
449,Mrs. Valerie Hartman,19
771,Emily Gallagher,19
1000,April Miller,19
398,Alex White,18
500,Richard Patterson,18
546,Meagan Hughes,18
983,Joanna Black,18
43,Bobby Perry,17
109,Rachel Nguyen,17
171,Suzanne Velasquez,17
499,Ricky Harmon,17
542,Savannah Neal,17
625,Paul Lee,17
647,Christine Davis,17
671,Cindy Green PhD,17
852,Jo Martinez,17
50,Brian Gonzales,16
72,Charles Davidson,16
220,Cassandra Mendoza,16
756,Emma Anderson,16
830,Jeffrey Cooper,16
88,Eric Ryan DDS,15
328,Carlos Lawrence,15
687,Danny Palmer,15
705,Christopher Sellers,15
934,Dr. Wendy Terrell,15
970,Brandon Rice,15
748,Bridget Williams,14
975,Danielle Bullock,14
297,Deanna Daniels,13
351,Kerry Jones,13
416,Ernest Cox,13
555,Mary Lewis,13
676,John Williams,13
869,David Mendoza,13
294,Cynthia Horton,12
373,Seth Esparza,12
394,Kyle Kerr,12
480,Michael Roberson,12
872,Lori Peters,12
477,Jorge Young,11
489,Erin Foster,11
949,Allison Pennington,11
396,Allison Martinez,10
399,Jennifer Hughes,10
554,Margaret Mccullough,10
565,Brian Blankenship,10
615,Rachel Carson,10
367,Ricardo Roberts,9
566,Michael Lewis,9
817,Victoria Torres,9
879,Bridget Hill,9
883,Aaron Rios,9
185,Shannon Pineda,8
479,Karen Reeves MD,8
679,Alexis Rodriguez,8
794,Lee Nunez,8
259,Aimee Stone,7
494,Timothy Chavez,7
737,James Brown,7
848,Terrence Wagner,7
878,Cory Johnson,7
935,John Harris,7
419,Teresa Jackson,6
536,Margaret Lloyd,6
964,Donald Moore,6
503,Eileen Scott,5
788,Beth Phillips,5
908,Abigail Crawford,5
959,Samantha Gomez,5
132,Katherine Gomez,4
240,Ronald Miller,4
409,Matthew Simmons PhD,4
558,Samantha Salinas,4
680,James Lewis,4
706,Shannon Jensen,4
815,James Miller,4
921,Kelly Walls,4
227,Samuel Hodge,3
239,Lindsay Garcia,3
299,Michael Curtis,3
355,Brian Hoffman,3
462,Timothy Martin,3
619,Taylor Estrada,3
666,Meredith Hull,3
709,Matthew Sanchez,3
717,Jonathon Gregory,3
840,Mary Anderson,3
460,Karen Stafford,2
673,Shelly Castillo,2
782,Timothy Burns,2
968,Mr. Joseph Herring,2
608,Oscar Bauer,1
695,Janet Newton,1
904,Amanda Kline,1
