Receiver_ID,Name,avg_quantity_per_claim
390,Victor Crawford,28.0
436,Jacqueline Turner,28.0
448,Nicholas Harrison,28.0
493,Chelsea Powell,28.0
553,Scott Proctor,28.0
870,Joshua Mendoza,28.0
888,Matthew Davis,28.0
368,Debra Murray,27.5
47,Taylor Dean,27.0
423,Christine Bell,27.0
576,Justin Lopez,27.0
596,Natalie Navarro,27.0
729,David Spence,27.0
783,Monica Phillips,27.0
482,Timothy Garrett,26.67
806,James Miller,26.5
33,Anita Kerr,26.0
113,Jonathan Young,26.0
281,Mrs. Kristin Adams DDS,26.0
295,Joseph Williams,26.0
561,Andrea Morris,26.0
600,Bruce Alexander,26.0
858,Ashley Harris,26.0
168,Kayla Johnson,25.5
849,Kyle Johnson,25.5
105,Trevor Wilson,25.0
180,Michelle Cook,25.0
218,Corey Lamb,25.0
413,Dennis Schultz,25.0
508,Kimberly Wilson,25.0
544,Matthew Wright,25.0
548,Gary Andrews,25.0
590,Terry Fernandez,25.0
420,Susan Green,24.5
149,Nathan Willis,24.0
301,Kristina Simpson,24.0
269,Mrs. Paula Jones,23.5
495,Andrea Meyer,23.5
126,Heather Brown,23.0
497,Miss Jamie Gonzalez DDS,23.0
532,David Sellers DVM,23.0
612,Meredith Griffin,23.0
730,Felicia Glover,23.0
786,Robert Kim,23.0
821,Jeffrey Wilson,23.0
440,Alexander Walsh,22.5
781,Jason Taylor,22.0
791,David Kennedy,22.0
850,Kristopher Mendoza,21.5
124,Marie Andrade,21.0
212,Ronald Gonzalez,21.0
228,Joanna Wilkins,21.0
424,Pamela Harris,21.0
529,Amy Perez,21.0
624,Alvin Day Jr.,21.0
929,Donna Terry,21.0
843,Glenn Anthony,20.5
505,Alexandra Owens,20.33
379,Tara Graham,20.0
747,Vanessa Johnson,20.0
837,Michelle Reed,20.0
538,Ronald Norton,19.5
302,Daniel Moore,19.0
310,Gary Adams,19.0
449,Mrs. Valerie Hartman,19.0
771,Emily Gallagher,19.0
1000,April Miller,19.0
353,Mrs. Stacey Morales MD,18.5
398,Alex White,18.0
500,Richard Patterson,18.0
546,Meagan Hughes,18.0
983,Joanna Black,18.0
571,Lydia Phillips,17.5
43,Bobby Perry,17.0
109,Rachel Nguyen,17.0
171,Suzanne Velasquez,17.0
499,Ricky Harmon,17.0
542,Savannah Neal,17.0
625,Paul Lee,17.0
647,Christine Davis,17.0
671,Cindy Green PhD,17.0
852,Jo Martinez,17.0
50,Brian Gonzales,16.0
72,Charles Davidson,16.0
183,Nicole Walker,16.0
220,Cassandra Mendoza,16.0
418,Miss Mary Turner,16.0
756,Emma Anderson,16.0
830,Jeffrey Cooper,16.0
6,Mandy Sutton PhD,15.0
88,Eric Ryan DDS,15.0
328,Carlos Lawrence,15.0
687,Danny Palmer,15.0
705,Christopher Sellers,15.0
934,Dr. Wendy Terrell,15.0
970,Brandon Rice,15.0
181,Paul Evans,14.0
748,Bridget Williams,14.0
975,Danielle Bullock,14.0
297,Deanna Daniels,13.0
351,Kerry Jones,13.0
416,Ernest Cox,13.0
555,Mary Lewis,13.0
676,John Williams,13.0
869,David Mendoza,13.0
90,Alvin West,12.0
294,Cynthia Horton,12.0
373,Seth Esparza,12.0
394,Kyle Kerr,12.0
480,Michael Roberson,12.0
872,Lori Peters,12.0
477,Jorge Young,11.0
489,Erin Foster,11.0
949,Allison Pennington,11.0
396,Allison Martinez,10.0
399,Jennifer Hughes,10.0
554,Margaret Mccullough,10.0
565,Brian Blankenship,10.0
615,Rachel Carson,10.0
367,Ricardo Roberts,9.0
566,Michael Lewis,9.0
817,Victoria Torres,9.0
879,Bridget Hill,9.0
883,Aaron Rios,9.0
185,Shannon Pineda,8.0
479,Karen Reeves MD,8.0
679,Alexis Rodriguez,8.0
794,Lee Nunez,8.0
259,Aimee Stone,7.0
494,Timothy Chavez,7.0
737,James Brown,7.0
848,Terrence Wagner,7.0
878,Cory Johnson,7.0
935,John Harris,7.0
419,Teresa Jackson,6.0
536,Margaret Lloyd,6.0
964,Donald Moore,6.0
503,Eileen Scott,5.0
788,Beth Phillips,5.0
908,Abigail Crawford,5.0
959,Samantha Gomez,5.0
132,Katherine Gomez,4.0
240,Ronald Miller,4.0
409,Matthew Simmons PhD,4.0
558,Samantha Salinas,4.0
680,James Lewis,4.0
706,Shannon Jensen,4.0
815,James Miller,4.0
921,Kelly Walls,4.0
227,Samuel Hodge,3.0
239,Lindsay Garcia,3.0
299,Michael Curtis,3.0
355,Brian Hoffman,3.0
462,Timothy Martin,3.0
619,Taylor Estrada,3.0
666,Meredith Hull,3.0
709,Matthew Sanchez,3.0
717,Jonathon Gregory,3.0
840,Mary Anderson,3.0
460,Karen Stafford,2.0
673,Shelly Castillo,2.0
782,Timothy Burns,2.0
968,Mr. Joseph Herring,2.0
608,Oscar Bauer,1.0
695,Janet Newton,1.0
904,Amanda Kline,1.0
